,date,ref_bacen,indice,previsao
0,2020-08,511332955,-0.0013045109610600799,
1,2020-09,511332955,0.011604602265246155,
2,2020-10,511332955,-0.016678968248056508,
5,2020-12,511332955,-0.0420008134822565,
9,2021-01,511332955,0.09977127846247813,
11,2021-04,511332955,-0.0019830411172426284,
12,2021-06,511332955,0.008831002009428374,
13,2021-07,511332955,0.035915488842476945,
14,2017-09,506185541,0.0013738470491699514,
16,2017-11,506185541,0.013692839284841121,
17,2018-01,506185541,-0.011262578582769925,
18,2018-03,506185541,0.031071964875962154,
20,2018-04,506185541,0.051673275049592154,
22,2018-05,506185541,0.043189576839998634,
23,2018-07,506185541,0.0016088166335424998,
25,2021-07,512310043,0.01042611060743427,
26,2021-10,512310043,0.029942857142857143,
27,2021-11,512310043,0.021123595505617977,
28,2022-01,512310043,0.018867924528301886,
29,2022-03,512310043,0.2224231464737794,
30,2022-05,512310043,0.029787234042553193,
31,2022-07,512310043,0.05013956373410524,
33,2022-08,512310043,0.010901162790697675,
35,2019-09,508624815,0.011677813082232431,
37,2019-10,508624815,0.08404938507761354,
39,2019-11,508624815,-0.0657873503799978,
41,2019-12,508624815,0.11428670981353074,
43,2020-01,508624815,0.39592495644036096,
47,2020-02,508624815,-0.07019426840766083,
48,2020-03,508624815,0.02051686488429537,
50,2020-06,508624815,-0.023150343848355768,
51,2020-07,508624815,0.01517315115572458,
52,2021-07,512301737,0.015279819524455035,
54,2022-02,512301737,0.01570642530798989,
55,2022-03,512301737,-0.020715556024668194,
57,2022-04,512301737,-0.033642757609619794,
58,2022-05,512301737,0.05285358932677775,
59,2022-06,512301737,0.2848194011818628,
60,2022-07,512301737,0.017970211766637864,
62,2022-08,512301737,0.01035896802634344,
63,2019-10,50,0.013562026326286399,
66,2019-11,50,0.0024744819053510673,
67,2019-12,50,0.0024122219244170464,
69,2020-01,50,0.0014396775122372588,
70,2020-02,50,0.08333333333333333,
71,2020-03,50,0.000750938673341677,
72,2020-08,50,0.00028308563340410475,
73,2021-07,512308192,0.007721595807595603,
74,2021-08,512308192,-0.004140899026699728,
75,2021-09,512308192,0.024494884362312445,
76,2021-10,512308192,0.1674923881063846,
77,2021-11,512308192,0.42658529050593913,
78,2022-01,512308192,0.22143098472300662,
80,2022-02,512308192,0.31861399377317684,
81,2022-04,512308192,0.03695568813562713,
82,2022-06,512308192,0.09444418897488305,
84,2021-08,512483993,0.012697169624073943,
85,2021-11,512483993,0.0752691774663991,
86,2022-01,512483993,0.010968149624215497,
87,2022-02,512483993,0.06612202611904806,
89,2022-03,512483993,-0.01778824257769359,
91,2022-04,512483993,0.04656677821740109,
92,2022-05,512483993,0.01617828820811837,
93,2022-07,512483993,0.013605603127042497,
94,2022-08,512483993,0.003611864982098256,
95,2021-07,512311809,0.013888587234940217,
96,2021-08,512311809,0.03421076520953264,
97,2021-11,512311809,0.015558866071007371,
99,2022-02,512311809,0.0736916089964244,
100,2022-03,512311809,-0.07583587125401087,
102,2022-04,512311809,-0.03564960543675585,
103,2022-05,512311809,0.06091073699694547,
105,2022-08,512311809,0.00417462820479724,
106,2021-08,512678455,0.007512240710601481,
107,2021-09,512678455,0.9954308791916134,
108,2021-12,512678455,0.3538943769714623,
109,2022-02,512678455,0.8201705503009308,
111,2022-03,512678455,-0.10832784805430358,
113,2022-04,512678455,0.011837216966946383,
114,2022-05,512678455,0.03793954142867214,
115,2022-06,512678455,-0.0027372461899535213,
116,2022-08,512678455,0.013353737477651327,
117,2020-07,510783654,0.014660597975029221,
118,2020-08,510783654,0.00020809513512788546,
120,2020-10,510783654,0.0338059619944153,
121,2020-12,510783654,0.02406326450037935,
123,2021-01,510783654,0.0006722454140734007,
125,2021-02,510783654,0.013264854312423396,
126,2021-04,510783654,0.0013711155678819789,
128,2021-07,510783654,0.018896613505724816,
130,2021-08,510783654,0.0014098133505590603,
131,2019-07,509157665,0.008521726728940558,
132,2019-08,509157665,0.0036495144982368125,
135,2019-09,509157665,0.09519028515985715,
136,2019-10,509157665,0.19000932925775607,
137,2019-11,509157665,0.07790900407085702,
138,2020-01,509157665,-0.01958904187506281,
139,2020-02,509157665,0.025770487920333034,
140,2020-06,509157665,0.025733636196536458,
141,2020-07,509157665,-0.000882367018001295,
142,2020-08,509157665,0.0037127969459867446,
143,2021-07,513286055,0.0071728244688049805,
146,2021-08,513286055,0.005247376311844078,
147,2021-09,513286055,0.001261431725007884,
148,2021-12,513286055,0.008159564823209429,
149,2022-07,513286055,0.013641755634638196,
152,2022-08,513286055,0.0011086474501108647,
153,2021-07,512307605,0.020933832347524477,
155,2021-09,512307605,0.02125720583775382,
156,2021-10,512307605,-0.03176268001902559,
159,2022-02,512307605,0.09279420890055663,
160,2022-03,512307605,-0.04007173735922127,
161,2022-04,512307605,0.07568302830762454,
162,2022-05,512307605,0.015718197643828036,
163,2022-06,512307605,0.0332732960009342,
164,2021-07,512309065,0.016100837243536663,
165,2021-09,512309065,0.005549389567147614,
166,2021-10,512309065,0.014347202295552367,
167,2021-12,512309065,0.09544787077826726,
169,2022-01,512309065,0.00202020202020202,
170,2022-02,512309065,0.0018107741059302852,
171,2022-03,512309065,0.006118286879673691,
172,2022-06,512309065,0.0205761316872428,
173,2022-08,512309065,0.05595667870036101,
174,2018-08,506185541,,0.008471262275275192
175,2018-09,506185541,,0.009158186143321758
176,2018-10,506185541,,0.006663847004250456
177,2018-11,506185541,,0.021477178378992927
178,2018-12,506185541,,-0.003478239488618119
179,2019-01,506185541,,0.03885630397011396
180,2022-09,512310043,,0.0
181,2022-10,512310043,,0.0
182,2022-11,512310043,,0.005213057910243484
183,2022-12,512310043,,0.024729804445666356
184,2023-01,512310043,,0.015910542808427193
185,2023-02,512310043,,0.0136548718311111
186,2020-08,508624815,,-0.14330886821888233
187,2020-09,508624815,,0.19193572620765495
188,2020-10,508624815,,0.22202734984456005
189,2020-11,508624815,,0.4702935749189855
190,2020-12,508624815,,0.2152848659792712
191,2021-01,508624815,,0.17400135034696676
192,2022-09,512301737,,0.01035896802634344
193,2022-10,512301737,,0.017998881608523927
194,2022-11,512301737,,0.014589292455534607
195,2022-12,512301737,,0.018425487392058782
196,2023-01,512301737,,-0.017996493940599306
197,2023-02,512301737,,0.054626981063108385
198,2020-09,50,,0.00028308563340410475
199,2020-10,50,,0.00028308563340410475
200,2020-11,50,,0.00706410218705219
201,2020-12,50,,0.012061838295806622
202,2021-01,50,,0.008920578063408964
203,2021-02,50,,-0.004023442233883142
204,2022-07,512308192,,0.001616389881495428
205,2022-08,512308192,,0.005477189715691215
206,2022-09,512308192,,-0.006385305118604115
207,2022-10,512308192,,0.02225047827040806
208,2022-11,512308192,,0.1652479820144802
209,2022-12,512308192,,0.4243408844140347
210,2022-09,512483993,,0.0036118649820982562
211,2022-10,512483993,,0.00996045296842605
212,2022-11,512483993,,0.07253246081075121
213,2022-12,512483993,,0.008231432968567584
214,2023-01,512483993,,0.06338530946340018
215,2023-02,512483993,,0.019746389469307055
216,2022-09,512311809,,0.004174628204797241
217,2022-10,512311809,,0.011118925294412423
218,2022-11,512311809,,0.031441103269004844
219,2022-12,512311809,,0.01278920413047957
220,2023-01,512311809,,0.46750876398154706
221,2023-02,512311809,,0.0709219470558966
222,2022-09,512678455,,0.013353737477651326
223,2022-10,512678455,,0.017109859711011362
224,2022-11,512678455,,1.005028498192023
225,2022-12,512678455,,0.363491995971872
226,2023-01,512678455,,0.8297681693013406
227,2023-02,512678455,,0.11702914356803917
228,2020-09,509157665,,0.00797366244088764
229,2020-10,509157665,,0.003101450210183895
230,2020-11,509157665,,0.04323943137662555
231,2020-12,509157665,,-0.053354143709053135
232,2021-01,509157665,,0.09464222087180427
233,2021-02,509157665,,0.18946126496970314
234,2022-09,513286055,,0.0011086474501108647
235,2022-10,513286055,,0.0011086474501108647
236,2022-11,513286055,,0.004695061477718577
237,2022-12,513286055,,0.026546526840119856
238,2023-01,513286055,,-0.002477762991086409
239,2023-02,513286055,,0.0027696133207576737
240,2022-07,512307605,,0.0332732960009342
241,2022-08,512307605,,0.043740217408151906
242,2022-09,512307605,,0.0441739257024371
243,2022-10,512307605,,0.04406359089838125
244,2022-11,512307605,,-0.008956294958398156
245,2022-12,512307605,,0.6396975541977626
246,2022-09,512309065,,0.055956678700361015
247,2022-10,512309065,,0.055956678700361015
248,2022-11,512309065,,0.06400710134733664
249,2022-12,512309065,,0.053455653670947595
250,2023-01,512309065,,0.06225346639935235
251,2023-02,512309065,,0.14335413488206727
